path,size_bytes,sha256
data/drylab/dssp/all_designs/dssp_chunk_00099.parquet,57269,41832910924bc474514162f01eedd415f37377bcf49f435e4737f2393daf83f7
data/drylab/dssp/mmseqs_result_cluster.tsv,370214,f55b440e9529bf2e051447076bfaee15f07007138d63ab90bf30e0b36cc84d8f
data/drylab/dssp/pdb/dssp_chunk_00000.parquet,11285,9dad004102f0e8988a86651b0ece34315b852903f3a9a6e4128d54768f5e5fad
data/drylab/dssp/pdb/dssp_chunk_00001.parquet,12416,6da463bbe940f3b498b045982297b82f9f300db135cafa24cd49d44bc0dc6b38
data/drylab/dssp/pdb/dssp_chunk_00002.parquet,11873,e77aa3afe2674e1b63aaf79b996ac50880e64f5475c444074d2dbc8c49c7fbc6
data/drylab/dssp/pdb/dssp_chunk_00003.parquet,12491,59bc31d350e4041f0110c0c37fe669e6acd05e704c76cb54120d8c97148c69c2
data/drylab/dssp/pdb/dssp_chunk_00004.parquet,12984,54cb67e506003608fee91ae2c7b382a29a663ac526fa40574a9be992b7bb3688
data/drylab/dssp/pdb/dssp_chunk_00005.parquet,11974,f65e3cc1bc0f451b65cba37057c48005f2963ba30f8734f44237c23ce3d8b582
data/drylab/dssp/pdb/dssp_chunk_00006.parquet,13320,be61e4ddfd02ea6a364c268d3174822e3545787a970276ad34465f9b1e25319c
data/drylab/dssp/pdb/dssp_chunk_00007.parquet,12812,6db77ad97d0c0e17fcd4e048e2c2cc922f9001b3c21227f55e617b3edb24ad2c
data/drylab/dssp/pdb/dssp_chunk_00008.parquet,12440,b428fb7ac962e242546aab204a39b8e28ee7e41ba14cf2481480c9196296d0f5
data/drylab/dssp/pdb/dssp_chunk_00009.parquet,10542,452d59b741197ebb87e0176802d0566e8990e0e1ba24726857c20d493eef1b3a
data/drylab/dssp/pdb/dssp_chunk_00010.parquet,12530,aa45babe51adb87672009df5a7ebc52a157b53868551b990b05fe62aa957abdb
data/drylab/dssp/pdb/dssp_chunk_00011.parquet,11779,b5d8f977416d88ab73d9cc7a0152f5fb82a161e1baa4c03cd7c8a2dd04f2c814
data/drylab/dssp/pdb/dssp_chunk_00012.parquet,12072,84fe04768e82bcfb684f667d1e60ec3225c253a39f0366eaf16b3a62af9f9b0c
data/drylab/dssp/pdb/dssp_chunk_00013.parquet,12710,449aea074157c381adb780e9d2d1fc55626b6984c49ca4c3d0a2f9171c33c4ce
data/drylab/dssp/pdb/dssp_chunk_00014.parquet,12335,b514e8b46ae91d80be2b955379e800f6f829f39293d6e41f8a3af5e238b2cdc6
data/drylab/dssp/pdb/dssp_chunk_00015.parquet,11642,c22208fce9968248b3d2a2c03e26623c083896d3a2d549aedbc203849995be74
data/drylab/dssp/pdb/dssp_chunk_00016.parquet,11943,8c2b9340e940a54c8dfe3689b798c29acb30da20ef142e085c330625bbaf87e2
data/drylab/dssp/pdb/dssp_chunk_00017.parquet,10214,0ef95ccd9c2ca3d2db76c3139d4d9b1435e60af9566b324b6959fa43a2a8c9e5
data/drylab/dssp/pdb/dssp_chunk_00018.parquet,8081,a2aed257e1bef947abd8975b7a033dc0f41bd6e46afddbb940c5c902266f9a1d
data/drylab/dssp/pdb/dssp_chunk_00019.parquet,9539,c7e01caca176ba9b7a27a2d1b78c44446e5005c9c24970f1700dfdc98614466d
data/drylab/dssp/pdb/dssp_chunk_00020.parquet,12011,90b9ee772dd605b3e05fa83f83298310fe554d8e414f0a8e42b9878de9153361
data/drylab/dssp/pdb/dssp_chunk_00021.parquet,12388,5585c4a687bc8cd1471bd23c1ffb959f1fa758376f17e170d685cdd674b58c98
data/drylab/dssp/pdb/dssp_chunk_00022.parquet,12116,24c76411bfe0ba36503d3840917adce2c9115d671ef0f3902337521d263fbe07
